Date,Company,Type,Jobs Affected,City,Location
8/12/2019,Standard Iron,Layoff,31,Grand Island,Grand Island
8/11/2019,Young Voices Child Development Center,Closure,,Lincoln,Lincoln
8/10/2019,Barnstormers Family Bar & Grill,Closure,20,Norfolk,Norfolk
8/9/2019,Risky's Sports Bar and Grill,Closure,,Beatrice,Beatrice
8/8/2019,US Aprons,Layoff,10,Sidney,Sidney
8/6/2019,Premier Estates,Closure,35,West Point,West Point
8/6/2019,Premier Estates,Closure,43,Fremont,Fremont
8/6/2019,Premier Estates,Closure,64,Crete,Crete
8/4/2019,Earl May Nursery & Garden Center,Closure,3,Beatrice,Beatrice
8/2/2019,Eakes Office Solutions x,Closure,3,York,York
8/2/2019,Eakes Office Solutions Corporation,Closure,3,York,York
7/31/2019,Anderson Auto Parts,Layoff,4,Grand Island,Grand Island
7/31/2019,El Canelo Mexican Restaurant,Closure,,Beatrice,Beatrice
7/31/2019,Norfolk Natural Market,Closure,5,Norfolk,Norfolk
7/31/2019,The Pipeline Clothing eXchange,Closure,1,Beatrice,Beatrice
7/28/2019,Goodyear Fitness Center,Closure,20,Lincoln,Lincoln
7/28/2019,Therman's Bike and Sport,Closure,0,Nebraska City,Nebraska City
7/27/2019,Merle's Food & Drink,Closure,13,Lincoln,Lincoln
7/27/2019,B & B Grill and Arcade,Closure,11,Bellevue,Bellevue
7/24/2019,Spreetail,Layoff,22,Lincoln,Lincoln
7/22/2019,Gerda's German Restaurant & Bakery,Closure,,Omaha,Omaha
7/19/2019,Charter Spectrum,Layoff,2,Beatrice,Beatrice
6/30/2019,Good Samaritan Nursing Home,Closure,40,Wood River,Wood River
6/28/2019,Cosmo Professional Beauty Supply,Closure,31,Lincoln,Lincoln
6/28/2019,Highnooner's Deli,Closure,4,Lincoln,Lincoln
6/28/2019,Video Kingdom Electronics,Closure,5,Hastings,Hastings
6/23/2019,Amato's,Closure,5,Omaha,Omaha
6/23/2019,Shopko Hometown xxxx,Closure,53,Omaha,Shopko Hometown Omaha
6/23/2019,Shopko Corporate Office,Closure,53,Omaha,Omaha - 14445 West Center Road
6/21/2019,Union Pacific,Layoff,78,North Platte,North Platte
6/21/2019,Werner Service & Trucking,Closure,24,St. Edward,St. Edward
6/18/2019,Grand Island Park Place Care & Rehabilitation Center,Closure,64,Grand Island,Grand Island
6/16/2019,Shopko xxxx,Closure,54,Grand Island,Grand Island
6/16/2019,Shopko Hometown xxxx,Closure,21,Holdrege,Holdrege
6/16/2019,Shopko xxxx,Closure,45,North Platte,North Platte
6/16/2019,Shopko Hometown xxxx,Closure,25,Wayne,SHopko Hometown Wayne
6/16/2019,Shopko xxxx,Closure,19,O.Neil,Shopko O'Neil
6/16/2019,Shopko Hometown xxxx,Closure,15,Broken Bow,Broken Bow
6/16/2019,Shopko Hometown xxxx,Closure,18,Valentine,Valentine
6/16/2019,Shopko Corporate Office,Closure,54,Grand Island,Grand Island
6/16/2019,Shopko Corporate Office,Closure,21,Holdrege,Holdrege
6/16/2019,Shopko Corporate Office,Closure,25,Wayne,Wayne
6/16/2019,Shopko Corporate Office,Closure,45,North Platte,North Platte
6/16/2019,Shopko Corporate Office,Closure,19,O'Neill,O'Neill
6/16/2019,Shopko Corporate Office,Closure,18,Valentine,Valentine
6/16/2019,Shopko Corporate Office,Closure,15,Broken Bow,Broken Bow
6/5/2019,Wahoo Super,Closure,28,Wahoo,Wahoo
5/31/2019,Payless,Closure,2,Scottsbluff,Scottsbluff
5/31/2019,Bigler Motors,Closure,12,Lincoln,Lincoln
5/28/2019,Payless ShoeSource,Closure,6,Norfolk,Norfolk - Sunset Plaza Mall
5/16/2019,Blue Blood Brewery,Closure,34,Lincoln,Lincoln
5/15/2019,Wiggles and Giggles Academy,Closure,9,Holdrege,Holdrege
5/12/2019,Casey's General Store,Closure,6,Lincoln,Lincoln
5/12/2019,Shopko xxxxx,Closure,15,Beatrice,Beatrice
5/12/2019,Shopko xxxx,Closure,15,Ainsworth,Ainsworth
5/12/2019,Shopko Hometown xxxx,Closure,25,Falls City,Falls City
5/12/2019,Shopko Corporate Office,Closure,25,Falls City,Falls City
5/12/2019,Shopko Corporate Office,Closure,15,Beatrice,Beatrice
5/12/2019,Shopko Corporate Office,Closure,18,Ainsworth,Ainsworth
5/11/2019,Cabela's Corporation,Closure,41,Oskosh,Returns Facility - Oshkosh
5/11/2019,Cabela's Corporation,Closure,120,Sidney,Distribution Center - Sidney
5/11/2019,Schuyler Care & Rehabilitation Center,Closure,53,Schuyler,Schuyler
5/11/2019,Norfolk Care & Rehabilitation Center,Closure,42,Norfolk,Norfolk
5/11/2019,Cabela's x,Closure,41,Oshkosh,Oshkosh Returns Facility
5/11/2019,Cabela's x,Closure,120,Sidney,Sidney Distribution Center
5/5/2019,Shopko Hometown xxxx,Closure,20,Auburn,Auburn
5/5/2019,Shopko Hometown xxxx,Closure,12,Superior,Superior
5/5/2019,Shopko xxxx,Closure,15,Gothenburg,Gothenburg
5/5/2019,Shopko Corporate Office,Closure,20,Auburn,Auburn
5/5/2019,Shopko Corporate Office,Closure,15,Gothenburg,Gothenburg
5/2/2019,Shopko Corporate Office,Closure,24,West Point,West Point
5/1/2019,Shopko Corporate Office,Closure,35,Norfolk,Norfolk
4/23/2019,Noodles & Company,Closure,16,Lincoln,Lincoln
4/22/2019,"Elkhorn River Farms, LLC",Layoff,31,O'Neill,O'Neill
4/20/2019,Payless ShoeSource,Closure,2,Lincoln,Lincoln 6845
4/19/2019,Payless ShoeSource,Closure,3,Lincoln,Lincoln 4200
4/19/2019,Payless,Closure,5,North Platte,North Platte
4/15/2019,Spectrum America Supply Chain Solutions (Shopko distribution)xxxx,Closure,295,Omaha,Shopko Distribution Center
4/15/2019,Shopko Corporate Office,Closure,42,Lincoln,Lincoln - 4200 South 27th Street
4/15/2019,Shopko Corporate Office,Closure,44,Lincoln,Lincoln - 100 South 66th Street
4/15/2019,Shopko Corporate Office,Closure,44,Lincoln,Lincoln - 6845 South 27th Street
4/15/2019,Shopko Corporate Office,Closure,5,Lincoln,Lincoln - 4200 South 27th Street Optical
4/15/2019,Shopko Corporate Office,Closure,295,Omaha,Omaha - Shopko Distribution Center
4/14/2019,Payless ShoeSource,Closure,,Lincoln,Gateway Mall - Lincoln
4/13/2019,Lincoln Journal Star,Layoff,48,Lincoln,Lincoln
4/9/2019,Buck's Shoes,Closure,6,Omaha,Omaha
4/9/2019,Buck's Shoes,Closure,2,Fremont,Fremont
4/1/2019,Century Lumber Center,Closure,1,Scottsbluff,Scottsbluff
3/31/2019,Shopko Hometown xxxx,Closure,17,Albion,Albion
3/31/2019,SkateDaze,Closure,6,Omaha,Omaha
3/31/2019,Shopko Corporate Office,Closure,17,Albion,Albion
3/29/2019,Sears,Closure,42,Omaha,Crossroads Mall - Omaha
3/24/2019,Kmart,Closure,42,Alliance,Alliance
3/23/2019,Payless ShoeSource,Closure,1,Norfolk,Norfolk 2005
3/23/2019,Payless ShoeSource,Closure,7,Lincoln,Lincoln N27th
3/19/2019,Payless ShoeSource,Closure,,Lincoln,In Shopko - Lincoln
3/15/2019,Sidney Care and Rehabilitation Center,Closure,51,Sidney,Sidney
3/15/2019,Wausa Care and Rehabilitation Center,Closure,39,Wausa,Wausa
3/12/2019,Nebraska Commission for the Blind x,Layoff,2,Norfolk,Norfolk
3/12/2019,Nebraska Commission for the Blind and Visually Impaired,Layoff,8,Lincoln,Lincoln
3/12/2019,Nebraska Commission for the Blind and Visually Impaired,Layoff,2,Norfolk,Norfolk
