Company,City,Zip Code,LWIB Area,Notice Date
The Antigua Group  ,Peoria  ,85382  ,7  ,04/24/2020 
The Orchards  ,Sedona  ,85600  ,10  ,04/03/2020 
The Phoenician  ,Phoenix  ,85251  ,5  ,06/03/2020 
The Ritz-Carlton  ,Marana  ,85658  ,6  ,06/05/2020 
The Royal Palms Resort and Spa  ,Phoenix  ,85018  ,5  ,06/08/2020 
The Scott Resort and Spa  ,Scottsdale  ,85251  ,7  ,05/04/2020 
The Scottsdale Resort at McCormick Ranch  ,Scottsdale  ,85258  ,7  ,06/05/2020 
The Sheraton Grand at Wild Horse Pass  ,Chandler  ,85226  ,7  ,06/03/2020 
The Westin Kierland Resort and Spa  ,Scottsdale  ,85254  ,7  ,06/05/2020 
The Westin Kierland Villas  ,Scottsdale  ,85254  ,7  ,06/05/2020 
The Westin Phoenix Downtown  ,Phoenix  ,85004  ,5  ,06/05/2020 
Tucson Marriott University park  ,Tucson  ,85719  ,6  ,03/26/2020 
"Tuesday Morning, Inc.  ",Phoenix  ,85006  ,5  ,04/22/2020 
"Tufesa USA, LLC  ",Phoenix  ,85009  ,5  ,04/15/2020 
Uber Technologies  ,Phoenix  ,85004  ,5  ,05/07/2020 
Vision Works  ,Chandler  ,85226  ,7  ,04/23/2020 
Westin La Paloma Resort and Spa  ,Tucson  ,85718  ,6  ,05/08/2020 
Wild River Family Entertainment Center  ,Somerton  ,85350  ,9  ,04/07/2020 
Willow (CPES)  ,Phoenix  ,85011  ,5  ,05/18/2020 
Yelp  ,Scottsdale  ,85251  ,7  ,04/09/2020 
ZF Passive Safety Systems US inc.  ,Mesa  ,85212  ,7  ,03/27/2020 
Zip Recruiter  ,Santa Monica  ,90401  ,7  ,03/27/2020 
Specialty Textile  ,Phoenix  ,85007  ,5  ,3/30/2020
