Company,City,Affected Workers,Notice Date,Notice Type,Layoff Begin Date,NAICS Description,County,Workforce Development Area
Footlocker.com/Eastbay - Revision 2,Wausau,179,5/15/2020,AW,7/15/2020,Managing Offices,Marathon,North Central
Foot Locker,"Appleton, Brookfield, Glendale, Green Bay, Greendale, La Crosse, Madison, Milwaukee, Racine, Wauwatosa",261,4/28/2020,WR,4/26/2020,Shoe Stores,"Brown, Dane, La Crosse, Milwaukee, Outagamie, Racine, Waukesha","Bay Area, Milwaukee County, South Central, Southeast, WOW, Western"
Eastbay Retail Store,Wausau,21,4/28/2020,WR,4/26/2020,Shoe Stores,Marathon,North Central
Enterprise Holdings,"Waukesha, Oak Creek, Milwaukee",260,4/29/2020,WR,3/23/2020,Passenger Car Rental,"Waukesha, Milwaukee","Milwaukee, WOW"
Sheraton Milwaukee Brookfield Hotel,Brookfield,101,4/30/2020,WR,3/27/2020,Hotels & Motels exc Casino Hotels,Waukesha,Waukesha-Ozaukee-Washington
Bluegreen Vacations,Wisconsin Dells,242,4/30/2020,WR,3/27/2020,Lessors of Residentials Bldgs,Sauk,South Central
Knueppel Healthcare Services Inc.,West Allis,44,3/2/2020,CL,4/30/2020,Food Health Supplement Stores,Milwaukee,Milwaukee
"Everbrite, LLC",Milwaukee,116,3/4/2020,CL,4/27/2020,Sign Mfg.,Milwaukee,Milwaukee
Hutchinson Technology Inc.,Eau Claire,112,3/18/2020,WR,5/16/2020,Computer Storage Device Mfg,Eau Claire,West Central
Punch Bowl Social,Milwaukee,91,3/19/2020,WR,3/16/2020,Full-Service Restaurants,Milwaukee,Milwaukee
"Sub-Zero Group, Inc.",Fitchburg,1043,3/20/2020,CL,3/22/2020,Major Household Appliance Manufacturing,Dane,South Central
"Sub-Zero Group, Inc. - Revision 1",Fitchburg,1046,3/20/2020,AW,3/22/2020,Major Household Appliance Manufacturing,Dane,South Central
Sub-Zero Group Inc. - Revision 2,Madison,1053,4/7/2020,"AW, LS",3/22/2020,Major Household Appliance Manufacturing,Dane,South Central
Sub-Zero Group Inc. - Revision 3,Madison,1113,4/13/2020,AW,3/22/2020,Major Household Appliance Manufacturing,Dane,South Central
Sub-Zero Group Inc. - Revision 4,Madison,1097,4/17/2020,"AW, LS",3/22/2020,Major Household Appliance Manufacturing,Dane,South Central
Tower Clock Eye Center,"Green Bay, Manitowoc, Oconto, Shawano",75,3/20/2020,CL,5/18/2020,Offices of Physicians exc Mental Health,"Brown, Manitowoc, Oconto, Shawano",Bay Area
Holiday Inn Convention Center Stevens Point,Stevens Point,143,3/23/2020,WR,3/21/2020,Hotels & Motels exc Casino Hotels,Portage,North Central
