Company,City,Affected Workers,Notice Date,Notice Type,Layoff Begin Date,NAICS Description,County,Workforce Development Area
Molina Healthcare Inc. - Revision 2,Milwaukee,78,12/12/2017,AW,3/1/2018,Managing Offices,Milwaukee,Milwaukee
Spartech Packaging,Ripon,70,10/5/2017,CL,12/4/2017,Nonpackaging Plastics Film & Sheet Mfg,Fond du Lac,Fox Valley
Webcrafters,Waunakee,258,10/2/2017,CL,12/31/2017,Books Printing,Dane,South Central
Mad Design and Marketing,Madison,2,9/29/2017,WR,11/1/2017,Marketing Consulting Services,Dane,South Central
Mad Design and Marketing - Revision 1,Madison,2,10/9/2017,LS,10/1/2017,Marketing Consulting Services,Dane,South Central
Appvion,Appleton,61,9/18/2017,CL,10/15/2017,Paper Bag & Coated & Treated Paper Mfg,Outagamie,Bay Area
Ryder,Beaver Dam,100,9/14/2017,CL,12/15/2017,Refrigerated Warehousing & Storage,Dodge,South Central
"Pioneer Metal Finishing, LLC",Oshkosh,52,9/13/2017,CL,11/13/2017,Metal Coating & Nonprecious Engraving,Winnebago,Fox Valley
"Mega Mart, LLC. (dba Pick 'n Save)",Janesville,71,9/6/2017,CL,11/4/2017,Supermarkets & Other Grocery Stores,Rock,Southwest
Jackson National Life Insurance,Appleton,11,9/1/2017,CL,11/1/2017,Direct Life Insurance Carriers,Outagamie,Bay Area
Jackson National Life Insurance - Revision 1,Appleton,34,12/18/2017,"AW, LS",2/16/2018,Direct Life Insurance Carriers,Outagamie,Bay Area
Jackson National Life Insurance - Revision 2,Appleton,115,1/29/2018,"AW, LS",4/17/2018,Direct Life Insurance Carriers,Outagamie,Bay Area
Jackson National Life Insurance - Revision 3,Appleton,145,1/30/2018,"AW, LS",3/16/2018,Direct Life Insurance Carriers,Outagamie,Bay Area
"Gordy's Chippewa Foods, Inc.","Arcadia, Augusta, Barron, Black River Falls, Chetek, Chippewa Falls, Cornell, Eau Claire, Galesville, Hayward, La Crosse, Ladysmith, Neillsville, Rice Lake, Richland Center, Shell Lake, Spencer, Stanley, Tomah, Whitehall",1008,8/29/2017,CL,10/28/2017,Supermarkets & Other Grocery Stores,"Barron, Chippewa, Clark, Eau Claire, Jackson, La Crosse, Marathon, Monroe, Richland, Rusk, Sawyer, Trempealeau, Washburn","North Central, Northwest, Southwest, West Central, Western"
Fortis Management Group LLC,Milwaukee,225,8/22/2017,CL,10/22/2017,Managing Offices,Milwaukee,Milwaukee
Appleton Coated LLC,Combined Locks,620,8/21/2017,CL,10/16/2017,Paper exc Newsprint Mills,Outagamie,Bay Area
"PDQ Food Stores, Inc.","Fitchburg, Kenosha, Madison, Middleton, Waukesha",313,8/7/2017,CL,10/9/2017,Gasoline Stations with Convenience Stores,"Dane, Kenosha, Waukesha","Southeast, South Central, WOW"
"Thunder Pallet, Inc.",Theresa,42,8/2/2017,CL,10/2/2017,Wood Container & Pallet Mfg,Dodge,South Central
"Marobo, LLC",Mayville,4,8/2/2017,CL,10/2/2017,Wood Container & Pallet Mfg,Dodge,South Central
Brennan's Market,"Brookfield, Madison, Monroe, New Glarus, & Oconomowoc",139,8/1/2017,CL,9/30/2017,All Other Specialty Food Stores,"Dane, Green, & Waukesha","South Central, Southwest, & WOW"
"The Carlson Company, Inc.",Madison,49,7/25/2017,CL,7/25/2017,Custom Architectural Woodwork & Millwork,Dane,South Central
Black Bear Bottling Group LLC,Oak Creek,76,7/19/2017,CL,9/15/2017,Soft Drink Mfg,Milwaukee,Milwaukee
Sears Auto Center,Greendale,8,7/10/2017,CL,9/17/2017,Automotive Parts & Accessories,Milwaukee,Milwaukee
Sears Store,Greendale,88,7/10/2017,CL,9/17/2017,Department Stores exc Discount,Milwaukee,Milwaukee
Gander Mountain,"Deforest, Franklin, Green Bay, Janesville, Kenosha, Onalaska, Rothschild, Waukesha, West Baraboo",371,7/3/2017,CL,8/30/2017,Sporting Goods Stores,"Brown, Dane, Kenosha, La Crosse, Marathon, Milwaukee, Rock, Sauk, Waukesha","Bay Area, Milwaukee, North Central, South Central, Southeast, Southwest, Western, WOW"
Imperial Laundry Systems LLC,Racine,121,6/23/2017,CL,8/23/2017,Drycleaning & Laundry Services,Racine,Southeast
Kmart,La Crosse,68,6/13/2017,CL,9/3/2017,Discount Department Stores,La Crosse,Western
Kmart,Medford,57,6/13/2017,CL,9/3/2017,Discount Department Stores,Taylor,Northwest
Kmart,West Allis,114,6/13/2017,CL,9/3/2017,Discount Department Stores,Milwaukee,Milwaukee
SaintA,Milwaukee,82,6/7/2017,WR,8/15/2017,Residential Mental & Substance,Milwaukee,Milwaukee
ADSEA Wisconsin,Portage,58,6/5/2017,CL,8/1/2017,Motor Vehicle Merch Whls,Columbia,South Central
Goetz Companies (dba Petro of Portage Travel Center),Portage,104,5/30/2017,CL,7/31/2017,Gasoline Stations with Convenience Stores,Columbia,South Central
"Zalk Josephs Fabricators, LLC",Stoughton,55,5/30/2017,WR,6/22/2017,Fabricated Structural Metal Mfg,Dane,South Central
"Colony Brands, Inc.",Madison,103,5/23/2017,CL,12/29/2017,Mail Order Houses,Dane,South Central
Modern Equipment Company LLC,Port Washington,59,5/4/2017,CL,7/10/2017,Other Industrial Machinery Mfg,Ozaukee,WOW
Babcock and Wilcox Universal,Beloit,55,4/5/2017,WR,6/3/2017,Misc General Purpose Machinery Mfg,Rock,Southwest
"VF Outdoor, LLC",Appleton,380,4/4/2017,WR,6/9/2017,Commercial Screen Printing,Outagamie,Bay Area
"Compass Group USA, Inc. dba Chartwells",Whitewater,302,4/4/2017,CL,5/31/2017,Food Service Contractors,Jefferson,South Central
Dollar Express,"Appleton, Eau Claire, Milwaukee, St. Francis",50,4/3/2017,CL,6/30/2017,All Other General Merchandise Stores,"Eau Claire, Milwaukee, Outagamie","Bay Area, Milwaukee, West Central"
"The Garvey Group, LLC","Franklin, Sturtevant, Milwaukee",66,4/3/2017,CL,6/1/2017,Commercial Gravure Printing,"Milwaukee, Racine","Milwaukee, Southeast"
The Garvey Group LLC - Revision 1,"Franklin, Milwaukee",66,7/21/2017,LS,7/31/2017,Commercial Gravure Printing,Milwaukee,Milwaukee
Tulip Molded Plastics Corp.,Milwaukee,136,3/31/2017,CL,7/2/2017,All Other Plastics Product Mfg,Milwaukee,Milwaukee
"Alorica, Inc.",La Crosse,137,3/27/2017,WR,5/26/2017,Telemarketing & Other Contact Centers,La Crosse,Western
SP Plus Corporation,Milwaukee,60,3/27/2017,CL,3/31/2017,Parking Lots & Garages,Milwaukee,Milwaukee
Gannett Consumer Solutions Center,Milwaukee,24,3/14/2017,CL,5/12/2017,Newspaper Publishers,Milwaukee,Milwaukee
River Steel,West Salem,20,3/7/2017,CL,3/31/2017,Fabricated Structural Metal Mfg,La Crosse,Western
Spredfast Inc.,Madison,47,2/7/2017,CL,2/7/2017,Marketing Consulting Services,Dane,South Central
"Promotions Unlimited (Roosevelt Capital, LLC)",Racine,77,2/6/2017,CL,1/17/2017,Other Nondurable Goods Merch Whls,Racine,Southeast
Gannett Publishing Services,Wausau,30,2/3/2017,CL,4/2/2017,Commercial Gravure Printing,Wausau,North Central
"River City Distributing Co., Inc.",Watertown,107,1/23/2017,CL,3/31/2017,Beer & Ale Merch Whls,Jefferson,South Central
McKesson Corporation,La Crosse,67,1/17/2017,CL,3/31/2017,Druggists Goods Merch Whls,La Crosse,Western
"BMR NO. 1, LLC dba Arrow Hyundai",West Allis,57,12/22/2016,CL,3/1/2017,New Car Dealers,Milwaukee,Milwaukee
"Walter USA, LLC.",Waukesha,39,12/12/2016,WR,2/10/2017,Cutting Tool & Machine Tool Accessory Mfg,Waukesha,WOW
The Lutheran Home: River Falls,River Falls,62,12/8/2016,CL,2/9/2016,Nursing Care Facilities (Skilled Nursing),St Croix,West Central
"BMR NO. 1, LLC dba Arrow Hyundai",West Allis,57,12/22/2016,CL,3/1/2017,New Car Dealers,Milwaukee,Milwaukee
"Walter USA, LLC.",Waukesha,39,12/12/2016,WR,2/10/2017,Cutting Tool & Machine Tool Accessory Mfg,Waukesha,WOW
The Lutheran Home: River Falls,River Falls,62,12/8/2016,CL,2/9/2016,Nursing Care Facilities (Skilled Nursing),St Croix,West Central
Cumberland Healthcare,Cumberland,76,10/31/2016,CL,12/31/2016,General Medical & Surgical Hospitals,Barron,West Central
"TreeHouse Private Brands, Inc.",Ripon,51,10/10/2016,CL,11/18/2016,Cookie & Cracker Mfg,Fond du Lac,Fox Valley
Home Security of America (HSA),Cross Plains,121,10/7/2016,CL,12/6/2016,Appliance Repair & Maint,Dane,South Central
Owens Corning,Ladysmith,71,10/3/2016,CL,11/30/2016,Custom Architectural Woodwork & Millwork,Rusk,Northwest
Gannett Publishing Services,Waupaca,52,10/3/2016,CL,12/3/2016,Commercial Gravure Printing,Waupaca,Fox Valley
UTi,Sturtevant,200,9/20/2016,CL,1/15/2017,General Warehousing & Storage,Racine,Southeast
"Brillion Iron Works, Inc.",Brillion,340,9/19/2016,CL,11/11/2016,Iron Foundries,Calumet,Fox Valley
Graebel Moving Services,Wausau,50,9/14/2016,WR,11/14/2016,Managing Offices,Marathon,North Central
Spirit Manufacturing Inc.,New Berlin,60,9/1/2016,CL,11/18/2016,Machine Shops,Waukesha,WOW
Manitowoc Cranes,Manitowoc,528,8/10/2016,CL,10/1/2016,Construction Machinery Mfg,Manitowoc,Bay Area
