Notice Date,Company,COUNTY_NAME,WDA_NAME,TOTAL_LAYOFF_NUMBER,LayOff_Date,WFDD_RECEIVED_DATE,CITY_NAME
13-Nov-15,"Topsail Staffing, LLC-HealthPPO-Preston Rd.",Dallas,Dallas County WDA,15,31-Dec-15,13-Nov-15,Dallas
13-Nov-15,"Topsail Staffing, LLC-HealthPRO- Bedford",Tarrant,Tarrant County WDA,15,31-Dec-15,13-Nov-15,Bedford
13-Nov-15,"Topsail Staffing, LLC-HealthPRO-Emerald Dr.",Dallas,Dallas County WDA,15,31-Dec-15,13-Nov-15,Dallas
13-Nov-15,Cameron International- Thomas Road,Harris,Gulf Coast WDA,75,11-Jan-16,13-Nov-15,Houston
13-Nov-15,"Trelleborg Offshoe US, Inc. - Hardy Road",Harris,Gulf Coast WDA,100,4-Nov-15,13-Nov-15,Houston
13-Nov-15,"Trelleborg Offshore US, Inc.-Rankin Road",Harris,Gulf Coast WDA,100,4-Nov-15,13-Nov-15,Houston
12-Nov-15,TransLogistics Solutions of North Texas (TLNT),Grayson,Texoma WDA,58,12-Nov-15,12-Nov-15,Sherman
12-Nov-15,National Oilwell Varco-San Angelo2,Tom Green,Concho Valley WDA,120,15-Jan-16,12-Nov-15,San Angelo
4-Nov-15,Fidelity Exploration & Production Company,Rusk,East Texas WDA,2,30-Jun-16,4-Nov-15,Minden
4-Nov-15,Boeing Company,Harris,Gulf Coast WDA,11,1-Jan-16,4-Nov-15,Houston
2-Nov-15,Forest Park Medical Center,Dallas,Dallas County WDA,196,30-Oct-15,2-Nov-15,Dallas
2-Nov-15,Gulf Greyhound Park,Galveston,Gulf Coast WDA,125,1-Jan-16,2-Nov-15,La Marque
30-Oct-15,American Airlines-(TX Aero Engine Service LLC-TAESL,Denton,North Central Texas WDA,595,31-Jan-16,30-Oct-15,Ft. Worth
29-Oct-15,"Infinity Construction Services, LP",Brazoria,Gulf Coast WDA,389,7-Dec-15,29-Oct-15,Freeport
28-Oct-15,"MV Transportation, Inc.- Houston",Harris,Gulf Coast WDA,333,31-Dec-15,28-Oct-15,Houston
26-Oct-15,Vantage Deepwater Drilling Inc.,Harris,Gulf Coast WDA,135,30-Sep-15,26-Oct-15,Houston
20-Oct-15,Del Taco - Dallas,Dallas,Dallas County WDA,18,15-Dec-15,20-Oct-15,Dallas
20-Oct-15,Del Taco - Denton,Denton,North Central Texas WDA,17,15-Dec-15,20-Oct-15,Denton
20-Oct-15,Del Taco - Frisco,Collin,North Central Texas WDA,23,15-Dec-15,20-Oct-15,Frisco
20-Oct-15,Del Taco - Dallas2,Dallas,Dallas County WDA,16,15-Dec-15,20-Oct-15,Dallas
20-Oct-15,Del Taco - Little Elm,Denton,North Central Texas WDA,19,15-Dec-15,20-Oct-15,Little Elm
20-Oct-15,Del Taco - Cedar Park,Williamson,Rural Capital WDA,20,15-Dec-15,20-Oct-15,Cedar Park
20-Oct-15,Del Taco - Lewisville,Denton,North Central Texas WDA,20,15-Dec-15,20-Oct-15,Lewisville
20-Oct-15,Del Taco - Round Rock,Williamson,Rural Capital WDA,19,15-Dec-15,20-Oct-15,Round Rock
20-Oct-15,Del Taco - San Marcos,Hays,Rural Capital WDA,15,15-Dec-15,20-Oct-15,San Marcos
20-Oct-15,Del Taco-Mckinney,Collin,North Central Texas WDA,14,15-Dec-15,20-Oct-15,McKinney
20-Oct-15,Del Taco - San Antonio,Bexar,Alamo WDA,21,15-Dec-15,20-Oct-15,San Antonio
20-Oct-15,INVISTA,Orange,South East Texas WDA,110,18-Dec-15,20-Oct-15,Orange
20-Oct-15,Del Taco - Plano,Collin,North Central Texas WDA,16,15-Dec-15,20-Oct-15,Plano
19-Oct-15,Forum Energy Technologies,Cooke,Texoma WDA,60,16-Oct-15,19-Oct-15,Gainesville
16-Oct-15,Clarke American (Harland Clarke)-San Antonio,Bexar,Alamo WDA,107,30-Jan-16,16-Oct-15,San Antonio
16-Oct-15,Forest Park Medical Center-San Antonio,Bexar,Alamo WDA,139,15-Oct-15,16-Oct-15,San Antonio
15-Oct-15,Boeing Company,Harris,Gulf Coast WDA,14,11-Dec-15,15-Oct-15,Houston
12-Oct-15,MullinTBG,Dallas,Dallas County WDA,7,7-Dec-15,12-Oct-15,Dallas
12-Oct-15,Hewlett Packard - Houston2,Harris,Gulf Coast WDA,16,9-Oct-15,12-Oct-15,Houston
12-Oct-15,Barclays Capital-Dallas,Dallas,Dallas County WDA,16,28-Dec-15,12-Oct-15,Dallas
12-Oct-15,Barclays Capital-Houston,Harris,Gulf Coast WDA,12,28-Dec-15,12-Oct-15,Houston
1-Oct-15,Doyon Security Services,El Paso,Upper Rio Grande WDA,450,30-Nov-15,1-Oct-15,El Paso
29-Sep-15,Boeing Company,Harris,Gulf Coast WDA,15,20-Nov-15,29-Sep-15,Houston
29-Sep-15,AT&T-Houston,Harris,Gulf Coast WDA,201,21-Nov-15,29-Sep-15,Houston
